,,,,,TF-IDF,ELMo,USE,Sentence length,Stopword count,WH question type,,,GS
1092179,Is it good too have a high motabolism while being a type 1 diabetic? ,[],[],[],1,0.999999881,0.99999994,1,1,0,,,
,,,,,,,,,,,,,
3423652,What is good for diabetic patient? ,,,,0.208952313,0.635606706,0.725802183,0.333333333,0.333333333,1,,,2.666666667
1536345,"people who have type 2 diabetes, is metformin good what does it do? ",[],[],[],0.195869977,0.731742382,0.796819091,0.916666667,1,1,,,2.5
1089991,Is apple cidar viniger is good for type 2 diabetics ? ,[],[],[],0.164988831,0.663533628,0.813390553,0.75,0.333333333,0,,,2.333333333
19907,Is Stevia tolerated well in type 2 diabetics? what effects does it have? ,[],[],[],0.073122722,0.695263684,0.802365959,0.916666667,0.666666667,1,,,1.666666667
1810542,Is gazpacho good for type 2 diabetics? ,[],[],[],0.254866095,0.699317575,0.88355875,0.416666667,0.166666667,0,,,1.666666667
3440124,Is cinnamon good for type 2 diabetes? ,[],[],[],0.254866095,0.729720235,0.804025054,0.416666667,0.166666667,0,,,1.666666667
602534,Type 2 Diabetes: Is 136 too high 2 hrs after dinner? ,[],[],[],0.304571347,0.618940175,0.697807729,0.75,0.333333333,0,,,1
817701,"Is Type 2 diabetes curable? How?If not, why not?",[],[],[],0.100847038,0.715860128,0.768686652,0.583333333,0.166666667,1,,,1
3126662,Is fasting good for you? ,,,,0.140885265,0.588280559,0.493561387,0.25,0.166666667,0,,,0.333333333
3626173,Is 389 a high blood sugar level for a adult if so what should my friend do? ,"['blood_glucose_measurement,', '=', '389,']",[],[],0.174011631,0.695351422,0.729936898,0.75,0.833333333,1,,,0.333333333
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
