3516253,the blood sugar HbA1c is 11.00 is it curable? age 46gender female,[],"['HBA1C,', '=', '11.0,']",[]
2247438,why plasma glucose is 10 to 15% higher than corresponding whole blood glucose concentration? ,"['plasma_glucose_result,', '>=', '10,', '%,', 'plasma_glucose_result,', '<=', '15,', '%']",[],[]
2881748,i have not eaten in 2 days and my blood sugar levels are 159? are these levels high,"['blood_glucose_measurement,', '=', '2,', 'days,', 'blood_glucose_measurement,', '=', '159,']",[],[]
3663888,is an A1c level of 8.0 bad? ,[],"['HBA1C,', '=', '8.0,']",[]
3808799,I have nill glucose in urine test but my HbA1C is 10?/ How come? ,[],"['HBA1C,', '=', '10.0,']",[]
83397,"My glucose is 120, tryglycerides 95, LDL 128, HDL 53, carbon dioxide 32, what does this mean? ","['Glucose,', '=', '120,', ',', 'Glucose,', '=', '95,', ',', 'Glucose,', '=', '128,', ',', 'Glucose,', '=', '53,', ',', 'Glucose,', '=', '32,']",[],[]
3079780,"Albumin/Creatinine ratio? Is an Albumin/Creatinine ratio of 0.7 normal? Im female, 29.",[],[],"['Creatinine_ratio', '=', '0.7']"
490298,"What is Serum Chemistry. My Serum Creatinine shows 1.50MG/DL, what that means & what precaution should be take? ",[],[],"['Creatinine', '=', '1.50', 'mg/dl']"
1891547,i just had 3 cup water and did my blood sugar level it was 5.3 is this normal for non-diabetic? ,"['blood_glucose_measurement,', '=', '3,', ',', 'blood_glucose_measurement,', '=', '5.3,']",[],[]
670465,"I had a starbucks an hr before a bloodtest, and my glucose was 230. Should i be worried? ","['Glucose,', '=', '230,']",[],[]
863102,Should I celebrate my 6.6 A1c with a cream filled donut or a banana split? ,[],"['HBA1C,', '=', '6.6,']",[]
1065217,108 glucose too high for your sugar level? ,"['Glucose,', '=', '108,']",[],[]
2367457,My Nan has a blood sugar level of 2 I know this is bad (but how bad?)? thanks,"['blood_glucose_measurement,', '=', '2,']",[],[]
1330863,I am female. Age 55years. My S creatinine 5.1 what can I do? ,[],[],"['Creatinine', '=', '5.1']"
1856600,Fasting blood sugar is 130. am i diabetic? Im 30 years old female,"['Glucose,', '=', '130,']",[],[]
590290,My blood sugar level is 112. Is it already a must for me to take/maintain 500-1000mg of Metformin everyday? ,"['blood_glucose_measurement,', '=', '112,']",[],[]
2555099,fasting blood sugar question? if someone has a fasting blood sugar of 5.7( 105) is that highh??,"['Glucose,', '=', '5.7,']",[],[]
3779970,"my 5 year old child fasting blood sugar is 110mg/dl ,How it is normal or she want to medicine,? ","['Glucose,', '=', '5,', 'year,', 'Glucose,', '=', '110,', 'mg/dl']",[],[]
713903,Is a 6.0 A1C average over a 10 year period very good control? ,[],"['HBA1C,', '=', '6.0,']",[]
3478300,is a 53.0 mg CREATININE level normal for a woman? ,[],[],"['Creatinine', '=', '53.0', 'mg']"
1206724,is 160 blood surgar count high? Im 53 yr. old man with blood sugar level 160,"['blood_glucose_measurement,', '=', '160,']",[],[]
790946,LOST 8-9-10 POUNDS...NOT DIABETIC BUT A1C WAS 6.1 IN JULY...WILL LOSING SOME WEIGHT HELP MY NEXT TESTING? ,[],"['HBA1C,', '=', '6.1,']",[]
216699,after full food 2 hours later my random blood sugar level is 97.4 whether i am diabetic or not ? ,"['blood_glucose_measurement,', '=', '2,', 'hours,', 'blood_glucose_measurement,', '=', '97.4,']",[],[]
2882318,how do you interpret a Fasting Plasma Glucose level of 6.2 mmol/l ? ,"['plasma_glucose_result,', '=', '6.2,', 'mmol/l']",[],[]
951471,what is 8 year child sugar level? normal blood sugar level of 8years old Child after food  and before food,"['blood_glucose_measurement,', '=', '8,', 'years']",[],[]
1830847,Is 4.2 a good A1C level? ,[],"['HBA1C,', '=', '4.2,']",[]
430242,my 13 year olds blood sugar Level first thing in the morning before eating was 120 is this ok? ,"['blood_glucose_measurement,', '=', '13,', 'year,', 'blood_glucose_measurement,', '=', '120,']",[],[]
3401766,Can a 32yr male experience low blood glucose sugar without having diabetes? ,"['Glucose,', '=', '32,']",[],[]
2420503,is 398 a dangerous blood sugar level? ,"['blood_glucose_measurement,', '=', '398,']",[],[]
